userId,movieId,rating,timestamp
1,8202,4.0,964981247
1,130,5.0,964982931
1,4637,3.0,964982400
1,7203,5.0,964984041
1,1707,5.0,964981208
1,1534,3.0,964980985
1,12,3.0,964982967
1,6815,3.0,964982310
1,3657,5.0,964981179
1,7576,4.0,964982563
1,14,4.0,964980962
1,6844,4.0,964981710
1,8851,3.0,964982363
1,1362,5.0,964981909
1,348,4.0,964982346
1,910,4.0,964981179
1,5431,4.0,964982653
1,490,4.0,964982546
1,50,4.0,964983793
1,471,5.0,964982931
1,6828,3.0,964982563
1,7949,5.0,964982838
1,6905,3.0,964981775
1,8258,3.0,964982653
1,440,5.0,964983219
1,3320,3.0,964982903
1,2251,5.0,964982791
1,3407,4.0,964981179
1,59,5.0,964981680
1,675,4.0,964984018
1,1780,4.0,964982513
1,792,5.0,964981872
1,384,5.0,964981827
1,161,4.0,964981855
1,24,2.0,964983393
1,173,5.0,964981909
1,2225,5.0,964984018
1,8205,5.0,964983618
1,857,5.0,964983723
1,105,3.0,964983414
1,950,4.0,964983599
1,7679,5.0,964982290
1,8218,5.0,964983414
1,495,5.0,964981909
1,307,5.0,964984086
1,749,4.0,964983393
1,1618,3.0,964982310
1,7170,4.0,964982620
1,6690,3.0,964981125
1,3610,5.0,964982346
1,593,5.0,964982951
1,493,4.0,964983056
1,6779,3.0,964982620
1,515,5.0,964981125
1,4480,4.0,964981230
1,8723,4.0,964983056
1,8085,4.0,964981780
1,594,5.0,964982176
1,6738,4.0,964981710
1,6635,4.0,964982211
1,1190,5.0,964981710
1,1338,4.0,964984176
1,110,4.0,964981888
1,8444,5.0,964982903
1,3184,4.0,964982563
1,1455,5.0,964982791
1,3829,4.0,964981747
1,1968,5.0,964982838
1,5993,3.0,964981710
1,8221,5.0,964982653
1,7453,4.0,964981725
1,7852,5.0,964982876
1,4179,5.0,964982791
1,900,4.0,964981725
1,2235,5.0,964981710
1,6792,4.0,964981710
1,6795,4.0,964982310
1,737,5.0,964983664
1,51,5.0,964983263
1,9012,2.0,964983546
1,3923,5.0,964983123
1,24,2.0,964983094
1,1195,4.0,964982310
1,1421,5.0,964982242
1,6083,4.0,964982620
1,1637,5.0,964981278
1,7677,3.0,964982328
1,112,5.0,964981888
1,5933,2.0,964982588
1,7974,4.0,964980523
1,6725,4.0,964982377
1,6256,5.0,964982620
1,2049,4.0,964983393
1,1296,4.0,964983414
1,1356,3.0,964983426
1,1316,5.0,964983414
1,6703,4.0,964981710
1,1027,4.0,964980523
1,268,5.0,964980868
1,6272,5.0,964982703
1,991,5.0,964981872
