movieId,title,genres
319,Toy Story,Adventure|Animation|Children|Comedy|Fantasy
2106,Jumanji,Adventure|Children|Fantasy
8202,Grumpier Old Men,Comedy|Romance
3982,Father of the Bride Part II,Comedy
405,Heat,Action|Crime|Thriller
1200,Sabrina,Comedy|Romance
4914,Sudden Death,Action
6883,GoldenEye,Action|Adventure|Thriller
7936,The American President,Comedy|Drama|Romance
4655,Dracula: Dead and Loving It,Comedy|Horror
1920,Balto,Adventure|Animation|Children
3245,Nixon,Drama
8957,Cutthroat Island,Action|Adventure|Romance
274,Casino,Crime|Drama
1462,Sense and Sensibility,Drama|Romance
8956,Four Rooms,Comedy
3775,Ace Ventura: When Nature Calls,Comedy
5329,Money Train,Action|Comedy|Crime|Drama|Thriller
8338,Get Shorty,Comedy|Crime|Thriller
8209,Copycat,Crime|Drama|Horror|Mystery|Thriller
8254,Assassins,Action|Crime|Thriller
3053,Powder,Drama|Sci-Fi
6654,Leaving Las Vegas,Drama|Romance
3254,Now and Then,Children|Drama
4929,Persuasion,Drama|Romance
6650,The City of Lost Children,Adventure|Drama|Fantasy|Mystery|Sci-Fi
3002,Dangerous Minds,Drama
968,Twelve Monkeys,Mystery|Sci-Fi|Thriller
4163,Babe,Children|Drama
6610,Dead Man Walking,Crime|Drama
8216,It Takes Two,Children|Comedy
1980,Clueless,Comedy|Romance
2685,Mortal Kombat,Action|Adventure|Fantasy
7860,To Die For,Comedy|Drama|Thriller
3172,Pocahontas,Animation|Children|Drama|Musical|Romance
130,The Usual Suspects,Crime|Mystery|Thriller
7232,Mighty Aphrodite,Comedy|Drama|Romance
375,The Postman,Comedy|Drama|Romance
8437,The Indian in the Cupboard,Adventure|Children|Fantasy
4544,Eye for an Eye,Drama|Thriller
6823,Mr. Holland's Opus,Drama
2938,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime
6502,Bio-Dome,Comedy
2358,Friday,Comedy
6800,From Dusk Till Dawn,Action|Comedy|Horror|Thriller
8273,Fair Game,Action
4154,Screamers,Action|Sci-Fi|Thriller
5816,The Juror,Drama|Thriller
8099,Things to Do in Denver When You're Dead,Crime|Drama|Romance
3902,White Squall,Action|Adventure|Drama
4982,Black Sheep,Comedy
8858,Nick of Time,Action|Thriller
6355,Vampire in Brooklyn,Comedy|Horror|Romance
7601,Beautiful Girls,Comedy|Drama|Romance
4743,Broken Arrow,Action|Adventure|Thriller
7236,Bottle Rocket,Adventure|Comedy|Crime|Romance
5295,Unforgettable,Mystery|Sci-Fi|Thriller
7625,Happy Gilmore,Comedy
757,The Bridges of Madison County,Drama|Romance
7591,Muppet Treasure Island,Adventure|Children|Comedy|Musical
358,Braveheart,Action|Drama|War
157,Taxi Driver,Crime|Drama|Thriller
3580,Rumble in the Bronx,Action|Adventure|Comedy|Crime
5691,Boomerang,Comedy|Romance
295,Chungking Express,Drama|Mystery|Romance
6530,The NeverEnding Story III,Adventure|Children|Fantasy
3877,Down Periscope,Comedy
5139,Man of the Year,Documentary
2778,The Birdcage,Comedy
6934,Bad Boys,Action|Comedy|Crime|Drama|Thriller
1624,The Basketball Diaries,Drama
1405,Apollo 13,Adventure|Drama|IMAX
7203,Rob Roy,Action|Drama|Romance|War
9006,Batman Forever,Action|Adventure|Comedy|Crime
3755,Casper,Adventure|Children
5915,Congo,Action|Adventure|Mystery|Sci-Fi
2344,Crimson Tide,Drama|Thriller|War
3159,Desperado,Action|Romance|Western
8556,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller
6649,Die Hard: With a Vengeance,Action|Crime|Thriller
4662,First Knight,Action|Drama|Romance
5160,Free Willy 2: The Adventure Home,Adventure|Children|Drama
3676,Hackers,Action|Adventure|Crime|Thriller
5521,Johnny Mnemonic,Action|Sci-Fi|Thriller
5468,Judge Dredd,Action|Crime|Sci-Fi
3367,Kids,Drama
7061,Mallrats,Comedy|Romance
5413,Mighty Morphin Power Rangers: The Movie,Action|Children
8907,The Net,Action|Crime|Thriller
5601,Nine Months,Comedy|Romance
8257,The Prophecy,Fantasy|Horror|Mystery
8192,Safe,Thriller
4784,The Scarlet Letter,Drama|Romance
5865,Showgirls,Drama
2208,Smoke,Comedy|Drama
5049,Species,Horror|Sci-Fi
6805,Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
1585,The Umbrellas of Cherbourg,Drama|Musical|Romance
8534,Total Eclipse,Drama|Romance
8952,Under Siege 2: Dark Territory,Action
2076,A Walk in the Clouds,Drama|Romance
4152,Waterworld,Action|Adventure|Sci-Fi
325,Before Sunrise,Drama|Romance
4239,Billy Madison,Comedy
4431,The Babysitter,Drama|Thriller
1534,Clerks,Comedy
7318,Don Juan DeMarco,Comedy|Drama|Romance
3936,Disclosure,Drama|Thriller
8983,Drop Zone,Action|Thriller
2408,Death and the Maiden,Drama|Thriller
2040,Dolores Claiborne,Drama|Thriller
1182,Eat Drink Man Woman,Comedy|Drama|Romance
1223,Ed Wood,Comedy|Drama
8296,French Kiss,Action|Comedy|Romance
2958,A Goofy Movie,Animation|Children|Comedy|Romance
6817,Heavenly Creatures,Crime|Drama
2602,Immortal Beloved,Drama|Romance
4477,Heavyweights,Children|Comedy
4187,The Hunted,Action
4888,I.Q.,Comedy|Romance
6063,Junior,Comedy|Sci-Fi
4142,Just Cause,Mystery|Thriller
433,Little Women,Drama
922,A Little Princess,Children|Drama
1895,Like Water for Chocolate,Drama|Fantasy|Romance
1609,Legends of the Fall,Drama|Romance|War|Western
8719,Major Payne,Comedy
8547,Mary Shelley's Frankenstein,Drama|Horror|Sci-Fi
5534,Man of the House,Comedy
1747,Miracle on 34th Street,Drama
2437,Murder in the First,Drama|Thriller
7940,Nell,Drama
6763,Natural Born Killers,Action|Crime|Thriller
3572,Only You,Comedy|Romance
1649,Once Were Warriors,Crime|Drama
7989,Outbreak,Action|Drama|Sci-Fi|Thriller
60,Léon: The Professional,Action|Crime|Drama|Thriller
12,Pulp Fiction,Comedy|Crime|Drama|Thriller
5473,Priest,Drama
1995,Quiz Show,Drama
2274,Queen Margot,Drama|Romance
7966,The Quick and the Dead,Action|Thriller|Western
365,Three Colors: Red,Drama
820,Three Colors: Blue,Drama
6599,Three Colors: White,Comedy|Drama
7820,The Swan Princess,Animation|Children
8943,The Specialist,Action|Drama|Thriller
6815,Stargate,Action|Adventure|Sci-Fi
8294,The Santa Clause,Comedy|Drama|Fantasy
1,The Shawshank Redemption,Crime|Drama
2919,Shallow Grave,Comedy|Drama|Thriller
6038,Tank Girl,Action|Comedy|Sci-Fi
8104,Star Trek: Generations,Adventure|Drama|Sci-Fi
2286,Village of the Damned,Horror|Sci-Fi
3657,Tommy Boy,Comedy
819,What's Eating Gilbert Grape,Drama
5939,Virtuosity,Action|Sci-Fi|Thriller
6812,While You Were Sleeping,Comedy|Romance
6887,Muriel's Wedding,Comedy
7926,Ace Ventura: Pet Detective,Comedy
2017,"The Adventures of Priscilla, Queen of the Desert",Comedy|Drama
2554,Bitter Moon,Drama|Film-Noir|Romance
2516,Bullets Over Broadway,Comedy
